robustness, solve time, T
0.50000,2.63183,40.00000
0.50000,11.67633,45.00000
0.50000,15.59426,50.00000
0.50000,14.53238,55.00000
0.50000,26.73665,60.00000
0.50000,10.48752,65.00000
0.50000,37.32759,70.00000
0.50000,193.82403,75.00000
0.50000,154.37315,80.00000
0.50000,151.49080,85.00000
0.50000,155.63817,90.00000
0.50000,129.08705,95.00000
0.50000,380.51188,100.00000
0.50000,7371.32235,105.00000
0.50000,0,110.00000
0.50000,0,115.00000
0.50000,0,120.00000
0.50000,0,125.00000
0.50000,0,130.00000
0.50000,0,135.00000
0.50000,0,140.00000
