robustness, solve time, T
19.62018,0.50000,50.00000
14.24423,0.50000,50.00000
43.69199,-3.93069,50.00000
19.74566,0.50000,50.00000
12.69828,0.45061,50.00000
19.62018,0.50000,50.00000
14.24423,0.50000,50.00000
43.69199,-3.93069,50.00000
19.74566,0.50000,50.00000
12.69828,0.45061,50.00000
10.28057,-0.01677,55.00000
13.88120,0.50000,55.00000
26.06902,0.50000,55.00000
15.96324,0.50000,55.00000
21.84675,0.50000,55.00000
19.76871,0.50000,55.00000
18.28941,0.50000,55.00000
23.78112,0.50000,55.00000
26.22722,0.50000,55.00000
49.24078,-3.93069,55.00000
21.55594,0.50000,60.00000
20.24511,0.50000,60.00000
23.36591,0.50000,60.00000
28.81117,0.50000,60.00000
22.77058,0.50000,60.00000
21.01966,0.50000,60.00000
17.62747,0.50000,60.00000
21.48381,0.50000,60.00000
11.13753,-0.08755,60.00000
32.08899,0.50000,60.00000
21.23144,0.50000,65.00000
27.33701,0.50000,65.00000
23.49158,0.50000,65.00000
22.78401,0.50000,65.00000
12.34312,0.44197,65.00000
14.18809,0.50000,65.00000
9.78809,0.49927,65.00000
59.56167,-3.93069,65.00000
26.51969,0.50000,65.00000
60.61572,-3.93069,65.00000
18.51227,0.48206,70.00000
36.83609,0.50000,70.00000
18.23306,0.50000,70.00000
29.06573,0.50000,70.00000
31.34692,0.50000,70.00000
25.44077,0.50000,70.00000
15.68899,0.46198,70.00000
20.63237,0.50000,70.00000
23.71241,0.50000,70.00000
28.49467,0.50000,70.00000
31.17950,0.50000,75.00000
67.74188,-3.93069,75.00000
27.86896,0.50000,75.00000
31.16371,0.50000,75.00000
25.41059,0.50000,75.00000
20.70957,0.50000,75.00000
31.00937,0.50000,75.00000
28.59576,0.50000,75.00000
41.70477,0.50000,75.00000
17.89953,0.48159,75.00000
34.89759,0.50000,80.00000
30.37533,0.50000,80.00000
22.27490,0.49801,80.00000
42.99594,0.50000,80.00000
39.51563,0.50000,80.00000
21.47156,0.50000,80.00000
53.38524,0.50000,80.00000
33.02512,0.50000,80.00000
32.76813,0.50000,80.00000
75.05148,-3.93069,80.00000
30.40573,0.50000,85.00000
38.93146,0.50000,85.00000
79.26445,-3.93069,85.00000
51.78679,0.50000,85.00000
13.08344,0.47001,85.00000
45.05199,0.50000,85.00000
28.94929,0.50000,85.00000
23.01449,0.41843,85.00000
79.84445,-3.93069,85.00000
28.72175,0.50000,85.00000
39.78324,0.50000,90.00000
28.67857,0.50000,90.00000
40.00478,0.50000,90.00000
34.47005,0.50000,90.00000
45.87899,0.50000,90.00000
35.58933,0.50000,90.00000
40.90491,0.50000,90.00000
33.38491,0.50000,90.00000
30.53887,0.50000,90.00000
27.97685,0.50000,90.00000
43.14261,0.50000,95.00000
30.19194,0.50000,95.00000
54.45090,0.50000,95.00000
40.05483,0.50000,95.00000
33.08330,0.49120,95.00000
37.33873,0.50000,95.00000
29.73874,0.50000,95.00000
18.29981,0.41380,95.00000
39.93985,0.50000,95.00000
15.81339,0.47055,95.00000
43.89264,0.50000,100.00000
30.12904,0.50000,100.00000
42.03196,0.50000,100.00000
39.84317,0.50000,100.00000
42.79904,0.50000,100.00000
30.46354,0.50000,100.00000
47.09068,0.50000,100.00000
46.96161,0.50000,100.00000
42.82412,0.50000,100.00000
44.26106,0.50000,100.00000
44.23637,0.50000,105.00000
49.07202,0.50000,105.00000
36.86069,0.50000,105.00000
37.78447,0.50000,105.00000
45.66710,0.50000,105.00000
107.83457,-3.93069,105.00000
50.70639,0.50000,105.00000
48.64463,0.50000,105.00000
51.58983,0.50000,105.00000
47.88202,0.50000,105.00000
37.75880,0.50000,110.00000
22.48436,0.42239,110.00000
63.81674,0.50000,110.00000
43.61494,0.50000,110.00000
