robustness, solve time, T
0.25948,1.81906,30.00000
0.35081,5.41982,35.00000
0.47482,3.40118,40.00000
0.47945,6.38086,45.00000
0.44772,38.93349,50.00000
-inf,25.80836,55.00000
0.49585,12.77896,60.00000
0.47367,22.18494,65.00000
0.47537,31.39079,70.00000
0.47623,19.68331,75.00000
0.47623,20.67344,75.00000
0.47575,78.26677,80.00000
0.43933,51.75298,85.00000
-inf,72.14013,90.00000
-inf,70.51646,95.00000
0.44762,87.06535,100.00000
0.47495,53.78770,105.00000
0.47576,81.77852,110.00000
0.48100,203.57477,115.00000
0.47184,384.46747,120.00000
0.47564,72.86044,125.00000
0.47982,180.07388,130.00000
0.47199,258.73513,135.00000
0.46827,156.83290,140.00000
