# formulating time, preparation time (reduction chain etc), solving time ,computational time (sum of the left ones), number of iteration,  robustness
1.15778,5.78439,9.74893,16.69110,6.00000,0.45922
1.16664,6.30775,10.88884,18.36323,6.00000,0.43679
1.23596,7.73394,12.00186,20.97175,7.00000,0.42188
1.17737,7.77218,12.92629,21.87584,7.00000,0.43184
1.16867,9.09611,13.80942,24.07420,8.00000,0.40165
1.18863,8.79216,14.02446,24.00526,8.00000,0.41244
1.20516,3.65638,6.99048,11.85202,4.00000,0.48723
1.21230,11.60049,17.36859,30.18138,10.00000,0.35363
1.20608,12.27438,18.79183,32.27228,11.00000,0.38711
1.26785,11.82700,16.87631,29.97116,10.00000,0.38267
1.17465,5.84376,9.68308,16.70149,6.00000,0.46783
1.21140,7.53168,12.17660,20.91968,7.00000,0.43724
1.25035,7.49226,12.52631,21.26893,7.00000,0.42311
1.26478,7.65764,12.13525,21.05767,7.00000,0.43219
1.17503,6.03695,10.44056,17.65255,6.00000,0.45922
1.19253,6.15783,10.20513,17.55548,6.00000,0.43679
1.22661,7.33601,11.41352,19.97614,7.00000,0.42188
1.17267,7.79105,12.55124,21.51496,7.00000,0.43184
1.16572,8.88475,13.57429,23.62477,8.00000,0.40165
1.16762,8.57064,13.65114,23.38940,8.00000,0.41244
1.17027,3.87092,6.80619,11.84738,4.00000,0.48723
