# formulating time, preparation time (reduction chain etc), solving time ,computational time (sum of the left ones), number of iteration,  robustness
1.17907,13.40113,19.87726,34.45747,12.00000,0.08486
1.17650,14.43340,20.85604,36.46594,12.00000,0.44361
1.22949,10.07794,14.85552,26.16294,9.00000,0.06344
1.17493,14.13044,20.36476,35.67014,12.00000,0.08101
1.31758,13.90153,19.96956,35.18868,12.00000,0.08486
1.19836,14.42840,19.74703,35.37379,12.00000,0.44361
1.18337,9.99624,15.15339,26.33300,9.00000,0.06344
1.15264,13.73074,20.51138,35.39477,12.00000,0.08101
1.15000,19.30890,28.10586,48.56476,17.00000,0.39158
1.15073,13.60469,20.59803,35.35346,12.00000,0.50000
1.21973,13.66507,21.28389,36.16869,12.00000,0.06974
1.16408,13.76536,20.76169,35.69113,12.00000,0.06859
1.16399,15.23301,22.13184,38.52885,13.00000,0.50000
1.23462,11.62871,16.84461,29.70793,10.00000,0.39802
1.17050,15.33367,22.90140,39.40558,13.00000,0.10077
1.22357,13.44609,20.08878,34.75845,12.00000,0.44618
1.17451,17.48478,25.18032,43.83962,15.00000,0.50000
1.20955,13.68847,20.38042,35.27843,12.00000,0.05138
1.70605,15.44499,22.94426,40.09531,13.00000,0.32308
1.21997,20.99677,29.12995,51.34669,17.00000,0.50000
1.43097,13.16130,19.11560,33.70786,11.00000,0.42819
1.41350,10.39229,15.98437,27.79016,9.00000,0.05681
1.19844,13.26715,20.29755,34.76314,12.00000,0.08129
1.17920,16.29817,23.18459,40.66197,14.00000,0.42245
1.15396,9.49890,14.47290,25.12575,9.00000,0.06344
1.15307,13.39914,20.51328,35.06549,12.00000,0.06641
1.15186,19.05647,27.92776,48.13610,17.00000,0.38204
1.15383,13.16786,20.17188,34.49356,12.00000,0.50000
1.22469,13.27152,20.18154,34.67774,12.00000,0.08761
1.26014,13.26236,20.20149,34.72399,12.00000,0.06545
1.22663,13.09073,20.24104,34.55839,12.00000,0.50000
1.18035,11.22101,16.96610,29.36746,10.00000,0.39802
1.23984,14.65221,22.30848,38.20053,13.00000,0.10524
1.23999,13.85937,20.06482,35.16418,12.00000,0.44085
1.20230,17.36152,24.60526,43.16907,15.00000,0.50000
1.25153,13.65829,19.93367,34.84349,12.00000,0.05007
1.17278,14.93495,21.91148,38.01920,13.00000,0.32394
1.17059,18.25394,26.48893,45.91347,16.00000,0.50000
1.26582,12.49415,19.03082,32.79078,11.00000,0.42819
1.25551,9.86919,15.07469,26.19939,9.00000,0.05681
1.15636,19.52032,27.11847,47.79515,16.00000,0.43352
1.30993,15.07555,22.00950,38.39498,13.00000,0.50000
1.27028,11.17929,17.68138,30.13094,10.00000,0.50000
1.20798,13.77114,20.15221,35.13133,12.00000,0.41053
