# formulating time, preparation time (reduction chain etc), solving time ,computational time (sum of the left ones), number of iteration,  robustness
1.34929,6.67052,10.55302,18.57284,6.00000,0.46783
1.40805,7.38266,11.75837,20.54907,7.00000,0.43724
1.21570,7.47744,12.31184,21.00498,7.00000,0.42311
1.24676,7.58169,12.07398,20.90243,7.00000,0.43219
1.18975,8.85112,14.12485,24.16572,8.00000,0.42937
1.29194,8.62804,14.03000,23.94998,8.00000,0.41094
1.22355,3.56625,6.95644,11.74624,4.00000,0.48963
1.21886,6.12698,11.68939,19.03524,6.00000,0.39327
1.24766,11.57194,17.29381,30.11341,10.00000,0.39810
1.28654,10.24262,16.39129,27.92045,9.00000,0.41477
1.24569,5.07542,8.73257,15.05367,5.00000,0.50000
1.16982,4.99953,9.13701,15.30636,5.00000,0.44794
1.26437,6.17562,10.37732,17.81731,6.00000,0.43879
1.22301,5.43985,8.53962,15.20248,5.00000,0.40223
1.24408,9.79290,15.73275,26.76974,9.00000,0.40135
1.19646,6.21163,11.14538,18.55347,6.00000,0.39202
1.17219,6.22378,10.19562,17.59159,6.00000,0.45824
1.19988,6.48034,10.28311,17.96333,6.00000,0.36131
1.17095,11.54661,17.12612,29.84368,10.00000,0.50000
1.32635,6.31458,10.09990,17.74083,6.00000,0.45130
1.29618,6.47947,10.33757,18.11322,6.00000,0.50000
1.16882,3.75160,6.88267,11.80309,4.00000,0.39261
1.24027,8.05597,12.10671,21.40294,7.00000,0.49878
1.21126,5.09319,9.58465,15.88910,5.00000,0.38367
1.17393,11.33519,17.33691,29.84604,10.00000,0.44384
1.19356,7.37180,12.37603,20.94139,7.00000,0.37163
1.28248,8.96262,13.77059,24.01568,8.00000,0.40064
